accuracy,utilisation,loss,layers,hash
83.45479279016664,1105,41.762,"[593, 256, 128, 128]",7aa878b7ff5ef4a9e3065ce1e973fa8b
88.94718942816888,1105,44.508,"[592, 255, 129, 129]",aae8e8dc0e975e90c9b9733abee6303d
88.36661322450566,1105,44.218,"[594, 257, 127, 127]",3ce7e68eb33faa9ad7b67014c889a886
86.82407812272264,1105,43.447,"[595, 258, 126, 126]",286dfd4e5c85de34e0970bfb7c34b1bb
84.45683330904144,1105,42.263,"[596, 259, 125, 125]",7665465fff78d898392dcd299f7d3541
80.35271826264393,1105,40.211,"[597, 260, 124, 124]",a1813c7719c090929674f5ce49290c97
85.47466355730457,1105,42.772,"[598, 261, 123, 123]",77aa4fd955f04d410c7de9af468c9bab
88.99820240003886,1105,44.534,"[591, 254, 130, 130]",6ffde292ed2e069ecebc5762a7595661
78.21989020065102,1105,39.144,"[599, 262, 122, 122]",99f62d1a28912e4311639420a072e89b
86.75241704319099,1105,43.411,"[600, 263, 121, 121]",551ad35227704d4e55ba0cf3086b4964
85.10907059223631,1105,42.589,"[590, 253, 131, 131]",eda066cff58659880029a9017312d603
81.32925229558373,1105,40.699,"[589, 252, 132, 132]",369dd36182d5c356179a817fe3a75bff
88.13584025652237,1105,44.102,"[588, 251, 133, 133]",4259e4367ef97b73574b08ea26fcf300
80.02963610746733,1105,40.049,"[601, 264, 120, 120]",e64221dcc1abf5218184f7a23d0fc9f3
84.28314628576982,1105,42.176,"[602, 265, 119, 119]",d73c94975a438b2be8af33753a537ab6
83.31268522567167,1105,41.691,"[587, 250, 134, 134]",12837ed4d2d6eacb204efad08aeafa4e
81.30738959335373,1105,40.688,"[586, 249, 135, 135]",ccc0ad4f174781e23e89ef2050cfb7b8
83.79487926929991,1105,41.932,"[585, 248, 136, 136]",6b320ded6303c7a898c52771773b859a
82.46368362240685,1105,41.266,"[603, 266, 118, 118]",4523f25066fd773f590e6944e7940aaa
88.84273429529223,1105,44.456,"[604, 267, 117, 117]",11185c390184f14c19081d1f104cf3cd
85.30583491230627,1105,42.687,"[584, 247, 137, 137]",217450783fd215b9d532742089899a03
